model,short,query_id,patent,origin,qlang,src,n_targets,foreign_reach10
google/embeddinggemma-300m,embeddinggemma,EP-4633662-A1_en_q_en,EP-4633662-A1,original,en,en,1,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4630509-A1_fr_q_fr,EP-4630509-A1,original,fr,fr,2,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4634248-A1_en_q_es,EP-4634248-A1,synthetic,es,en,1,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4634187-A1_en_q_es,EP-4634187-A1,synthetic,es,en,1,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4634142-A1_fr_q_fr,EP-4634142-A1,original,fr,fr,2,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4633768-A2_en_q_es,EP-4633768-A2,synthetic,es,en,1,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4633645-A1_fr_q_fr,EP-4633645-A1,original,fr,fr,1,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4633622-A2_en_q_de,EP-4633622-A2,synthetic,de,en,1,1.0
google/embeddinggemma-300m,embeddinggemma,EP-4634601-A1_en_q_en,EP-4634601-A1,original,en,en,1,1.0
google/embeddinggemma-300m,embeddinggemma,EP-4630626-A1_de_q_de,EP-4630626-A1,original,de,de,2,1.0
google/embeddinggemma-300m,embeddinggemma,EP-4630600-A1_de_q_en,EP-4630600-A1,synthetic,en,de,2,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4633632-A1_en_q_es,EP-4633632-A1,synthetic,es,en,2,1.0
google/embeddinggemma-300m,embeddinggemma,EP-4634136-A1_en_q_es,EP-4634136-A1,synthetic,es,en,1,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4634157-A1_en_q_de,EP-4634157-A1,synthetic,de,en,1,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4630574-A1_de_q_en,EP-4630574-A1,synthetic,en,de,2,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4634111-A1_en_q_de,EP-4634111-A1,synthetic,de,en,1,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4634596-A1_en_q_es,EP-4634596-A1,synthetic,es,en,1,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4634139-A1_en_q_es,EP-4634139-A1,synthetic,es,en,1,1.0
google/embeddinggemma-300m,embeddinggemma,WO-2025153617-A3_de_q_en,WO-2025153617-A3,synthetic,en,de,2,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4634251-A1_en_q_es,EP-4634251-A1,synthetic,es,en,2,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4634426-A1_en_q_es,EP-4634426-A1,synthetic,es,en,2,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4634729-A1_en_q_de,EP-4634729-A1,synthetic,de,en,1,1.0
google/embeddinggemma-300m,embeddinggemma,EP-4626569-A1_de_q_en,EP-4626569-A1,synthetic,en,de,2,1.0
google/embeddinggemma-300m,embeddinggemma,EP-4634394-A2_en_q_es,EP-4634394-A2,synthetic,es,en,1,1.0
google/embeddinggemma-300m,embeddinggemma,EP-4634424-A1_en_q_es,EP-4634424-A1,synthetic,es,en,1,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4633602-A1_en_q_de,EP-4633602-A1,synthetic,de,en,1,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4634337-A1_en_q_en,EP-4634337-A1,original,en,en,2,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4634128-A1_en_q_en,EP-4634128-A1,original,en,en,1,1.0
google/embeddinggemma-300m,embeddinggemma,EP-4633896-A1_en_q_en,EP-4633896-A1,original,en,en,1,0.0
google/embeddinggemma-300m,embeddinggemma,WO-2025215091-A1_fr_q_fr,WO-2025215091-A1,original,fr,fr,2,0.5
google/embeddinggemma-300m,embeddinggemma,EP-4633599-A1_fr_q_fr,EP-4633599-A1,original,fr,fr,1,1.0
google/embeddinggemma-300m,embeddinggemma,EP-4633656-A1_fr_q_fr,EP-4633656-A1,original,fr,fr,1,0.0
google/embeddinggemma-300m,embeddinggemma,WO-2025208167-A1_de_q_de,WO-2025208167-A1,original,de,de,2,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4634396-A1_fr_q_fr,EP-4634396-A1,original,fr,fr,1,1.0
google/embeddinggemma-300m,embeddinggemma,EP-4633893-A1_fr_q_fr,EP-4633893-A1,original,fr,fr,1,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4633462-A1_en_q_en,EP-4633462-A1,original,en,en,2,1.0
google/embeddinggemma-300m,embeddinggemma,EP-4633386-A1_en_q_en,EP-4633386-A1,original,en,en,1,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4633970-A1_fr_q_fr,EP-4633970-A1,original,fr,fr,1,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4633415-A1_en_q_en,EP-4633415-A1,original,en,en,1,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4633415-A1_en_q_de,EP-4633415-A1,synthetic,de,en,1,1.0
google/embeddinggemma-300m,embeddinggemma,EP-4633415-A1_fr_q_fr,EP-4633415-A1,original,fr,fr,1,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4633415-A1_en_q_es,EP-4633415-A1,synthetic,es,en,1,1.0
google/embeddinggemma-300m,embeddinggemma,EP-4633950-A1_en_q_en,EP-4633950-A1,original,en,en,1,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4633950-A1_en_q_de,EP-4633950-A1,synthetic,de,en,1,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4633950-A1_fr_q_fr,EP-4633950-A1,original,fr,fr,1,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4633950-A1_en_q_es,EP-4633950-A1,synthetic,es,en,1,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4634629-A1_en_q_en,EP-4634629-A1,original,en,en,2,0.0
