model,short,query_id,qlang,same_share,foreign_share,base_same,overrep,entropy,clir_at_10,frac_en,frac_de,frac_es,frac_fr,frac_zh
google/embeddinggemma-300m,embeddinggemma,EP-4633662-A1_en_q_en,en,0.5,0.5,0.4551645856980704,1.098503740648379,1.0,0.0,0.5,0.0,0.0,0.5,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4630509-A1_fr_q_fr,fr,0.9,0.09999999999999998,0.37016017152226005,2.4313798977853494,0.4689955935892812,0.0,0.0,0.1,0.0,0.9,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4634248-A1_en_q_es,es,0.4,0.6,0.09055366376592257,4.417270194986072,1.8464393446710154,0.0,0.1,0.2,0.4,0.3,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4634187-A1_en_q_es,es,0.7,0.30000000000000004,0.09055366376592257,7.7302228412256255,1.3567796494470397,0.0,0.1,0.0,0.7,0.1,0.1
google/embeddinggemma-300m,embeddinggemma,EP-4634142-A1_fr_q_fr,fr,0.8,0.19999999999999996,0.37016017152226005,2.1612265758091995,0.7219280948873623,0.0,0.2,0.0,0.0,0.8,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4633768-A2_en_q_es,es,0.4,0.6,0.09055366376592257,4.417270194986072,1.9219280948873623,0.0,0.2,0.2,0.4,0.2,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4633645-A1_fr_q_fr,fr,0.5,0.5,0.37016017152226005,1.3507666098807496,1.360964047443681,0.0,0.4,0.0,0.1,0.5,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4633622-A2_en_q_de,de,0.0,1.0,0.06730567116492202,0.0,1.295461844238322,1.0,0.6,0.0,0.1,0.3,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4634601-A1_en_q_en,en,0.6,0.4,0.4551645856980704,1.3182044887780549,1.295461844238322,1.0,0.6,0.0,0.1,0.3,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4630626-A1_de_q_de,de,0.1,0.9,0.06730567116492202,1.4857589006870706,1.360964047443681,1.0,0.5,0.1,0.0,0.4,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4630600-A1_de_q_en,en,0.6,0.4,0.4551645856980704,1.3182044887780549,0.9709505944546686,0.0,0.6,0.0,0.0,0.4,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4633632-A1_en_q_es,es,0.4,0.6,0.09055366376592257,4.417270194986072,1.8464393446710154,0.6666666666666666,0.3,0.0,0.4,0.2,0.1
google/embeddinggemma-300m,embeddinggemma,EP-4634136-A1_en_q_es,es,0.7,0.30000000000000004,0.09055366376592257,7.7302228412256255,1.1567796494470395,0.0,0.1,0.0,0.7,0.2,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4634157-A1_en_q_de,de,0.1,0.9,0.06730567116492202,1.4857589006870706,1.8464393446710154,0.0,0.3,0.1,0.2,0.4,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4630574-A1_de_q_en,en,0.8,0.19999999999999996,0.4551645856980704,1.7576059850374066,0.7219280948873623,0.0,0.8,0.0,0.0,0.2,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4634111-A1_en_q_de,de,0.5,0.5,0.06730567116492202,7.428794503435353,1.360964047443681,0.0,0.4,0.5,0.1,0.0,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4634596-A1_en_q_es,es,0.0,1.0,0.09055366376592257,0.0,0.7219280948873623,0.0,0.2,0.0,0.0,0.8,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4634139-A1_en_q_es,es,0.6,0.4,0.09055366376592257,6.625905292479108,1.5709505944546687,1.0,0.2,0.0,0.6,0.1,0.1
google/embeddinggemma-300m,embeddinggemma,WO-2025153617-A3_de_q_en,en,0.9,0.09999999999999998,0.4551645856980704,1.9773067331670824,0.4689955935892812,0.0,0.9,0.0,0.0,0.1,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4634251-A1_en_q_es,es,0.2,0.8,0.09055366376592257,2.208635097493036,1.5219280948873621,0.0,0.4,0.0,0.2,0.4,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4634426-A1_en_q_es,es,0.2,0.8,0.09055366376592257,2.208635097493036,1.3709505944546687,0.0,0.2,0.0,0.2,0.6,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4634729-A1_en_q_de,de,0.4,0.6,0.06730567116492202,5.9430356027482825,1.5219280948873621,1.0,0.2,0.4,0.0,0.4,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4626569-A1_de_q_en,en,0.6,0.4,0.4551645856980704,1.3182044887780549,0.9709505944546686,0.5,0.6,0.0,0.0,0.4,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4634394-A2_en_q_es,es,0.5,0.5,0.09055366376592257,5.52158774373259,1.4854752972273344,1.0,0.2,0.0,0.5,0.3,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4634424-A1_en_q_es,es,0.7,0.30000000000000004,0.09055366376592257,7.7302228412256255,1.1567796494470395,0.0,0.0,0.2,0.7,0.1,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4633602-A1_en_q_de,de,0.2,0.8,0.06730567116492202,2.9715178013741412,1.4854752972273344,0.0,0.3,0.2,0.0,0.5,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4634337-A1_en_q_en,en,0.7,0.30000000000000004,0.4551645856980704,1.5379052369077306,0.8812908992306927,0.0,0.7,0.0,0.0,0.3,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4634128-A1_en_q_en,en,0.8,0.19999999999999996,0.4551645856980704,1.7576059850374066,0.7219280948873623,1.0,0.8,0.0,0.0,0.2,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4633896-A1_en_q_en,en,0.9,0.09999999999999998,0.4551645856980704,1.9773067331670824,0.4689955935892812,0.0,0.9,0.0,0.0,0.1,0.0
google/embeddinggemma-300m,embeddinggemma,WO-2025215091-A1_fr_q_fr,fr,0.9,0.09999999999999998,0.37016017152226005,2.4313798977853494,0.4689955935892812,0.5,0.0,0.1,0.0,0.9,0.0
