model,query_language,n_queries,n_wins,confusion_rate,mean_best_gold_rank,mean_best_hardneg_rank
BAAI/bge-m3,ALL,132,17,0.1288,9.49,92.82
BAAI/bge-m3,de,27,3,0.1111,4.74,100.08
BAAI/bge-m3,en,27,2,0.0741,5.22,113.08
BAAI/bge-m3,es,25,2,0.08,3.28,60.91
BAAI/bge-m3,fr,27,3,0.1111,8.89,81.24
BAAI/bge-m3,zh,26,7,0.2692,25.46,105.75
Qwen/Qwen3-Embedding-0.6B,ALL,132,17,0.1288,9.73,73.23
Qwen/Qwen3-Embedding-0.6B,de,27,5,0.1852,8.41,110.64
Qwen/Qwen3-Embedding-0.6B,en,27,3,0.1111,5.11,67.78
Qwen/Qwen3-Embedding-0.6B,es,25,1,0.04,4.64,72.0
Qwen/Qwen3-Embedding-0.6B,fr,27,3,0.1111,22.3,51.91
Qwen/Qwen3-Embedding-0.6B,zh,26,5,0.1923,7.77,60.52
cambridgeltl/SapBERT-UMLS-2020AB-all-lang-from-XLMR,ALL,132,39,0.2955,39.11,64.78
cambridgeltl/SapBERT-UMLS-2020AB-all-lang-from-XLMR,de,27,10,0.3704,48.59,68.83
cambridgeltl/SapBERT-UMLS-2020AB-all-lang-from-XLMR,en,27,7,0.2593,26.33,62.12
cambridgeltl/SapBERT-UMLS-2020AB-all-lang-from-XLMR,es,25,7,0.28,17.24,77.26
cambridgeltl/SapBERT-UMLS-2020AB-all-lang-from-XLMR,fr,27,6,0.2222,61.3,71.84
cambridgeltl/SapBERT-UMLS-2020AB-all-lang-from-XLMR,zh,26,9,0.3462,40.54,42.36
google/embeddinggemma-300m,ALL,132,9,0.0682,6.11,108.16
google/embeddinggemma-300m,de,27,3,0.1111,8.48,101.54
google/embeddinggemma-300m,en,27,2,0.0741,4.85,95.17
google/embeddinggemma-300m,es,25,0,0.0,2.56,132.91
google/embeddinggemma-300m,fr,27,3,0.1111,7.93,66.0
google/embeddinggemma-300m,zh,26,1,0.0385,6.46,145.48
ibm-granite/granite-embedding-278m-multilingual,ALL,132,24,0.1818,23.23,97.64
ibm-granite/granite-embedding-278m-multilingual,de,27,3,0.1111,8.12,119.79
ibm-granite/granite-embedding-278m-multilingual,en,27,5,0.1852,11.3,101.48
ibm-granite/granite-embedding-278m-multilingual,es,25,2,0.08,13.6,98.24
ibm-granite/granite-embedding-278m-multilingual,fr,27,6,0.2222,21.37,76.52
ibm-granite/granite-embedding-278m-multilingual,zh,26,8,0.3077,61.92,90.95
intfloat/multilingual-e5-large-instruct,ALL,132,37,0.2803,36.55,71.08
intfloat/multilingual-e5-large-instruct,de,27,8,0.2963,38.11,44.79
intfloat/multilingual-e5-large-instruct,en,27,5,0.1852,8.7,86.33
intfloat/multilingual-e5-large-instruct,es,25,10,0.4,68.12,74.32
intfloat/multilingual-e5-large-instruct,fr,27,6,0.2222,22.04,49.46
intfloat/multilingual-e5-large-instruct,zh,26,8,0.3077,48.54,100.79
nomic-ai/nomic-embed-text-v2-moe,ALL,132,14,0.1061,14.64,83.67
nomic-ai/nomic-embed-text-v2-moe,de,27,2,0.0741,9.48,112.83
nomic-ai/nomic-embed-text-v2-moe,en,27,4,0.1481,7.44,86.78
nomic-ai/nomic-embed-text-v2-moe,es,25,0,0.0,2.28,71.59
nomic-ai/nomic-embed-text-v2-moe,fr,27,3,0.1111,17.78,77.17
nomic-ai/nomic-embed-text-v2-moe,zh,26,5,0.1923,36.08,67.0
sentence-transformers/LaBSE,ALL,132,33,0.25,24.61,106.25
sentence-transformers/LaBSE,de,27,7,0.2593,19.89,122.42
sentence-transformers/LaBSE,en,27,7,0.2593,24.15,87.65
sentence-transformers/LaBSE,es,25,5,0.2,16.04,95.96
sentence-transformers/LaBSE,fr,27,7,0.2593,39.74,115.75
sentence-transformers/LaBSE,zh,26,7,0.2692,22.54,108.45
